執行日期,科目名稱,摘要,受款單位, 金額 
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立臺灣師範大學附屬高級中學,"70,560"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立華僑高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立關西高級中學,"26,460"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立竹北高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立新竹科學園區實驗高級中等學校,"17,640"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立新竹女子高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立新竹高級中學,"17,640"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立彰化女子高級中學,"26,460"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立彰化高級中學,"141,120"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立二林高級工商職業學校,"17,640"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立彰化高級商業職業學校,"26,460"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立員林崇實高級工業職業學校,"8,820"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立竹山高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立嘉義高級中學,"88,200"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立民雄高級農工職業學校,"17,640"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立新化高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立台南第二高級中學,"26,460"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立台南第一高級中學,"8,820"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立台南女子高級中學,"26,460"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立台南家齊高級中學,"52,920"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立台南高級海事水產職業學校,"52,920"
