年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,218,內湖區,"臺北市內湖區湖興里成功路2段240-242號1樓
 (中華民國天使之家全人關懷協會)",1111111,13:30-16:30,掌握銀髮照護通行證,17
111,219,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111112,09:30-12:30,樂齡手機上網輕鬆學,18
111,220,大安區,"台北市大安區建安里忠孝東路四段169號4樓之1
 (巨匠電腦東區認證)",1111112,13:30-16:30,行動追劇快樂無極限,18
111,221,士林區,"台北市士林區義信里基河路165號
 (台灣運動休閒產業發展協會)",1111112,14:00-17:00,台北通讓生活攏會通,12
111,222,中山區,"台北市中山區新生里新生北路二段133巷45號1樓
 (新安社區發展協會)",1111113,13:30-16:30,掌握銀髮照護通行證,27
111,223,南港區,"台北市南港區聯成里東新街77巷29號
 (後山埤文化發展協會)",1111114,09:00-12:00,亮麗自拍展現我的美,28
111,224,士林區,"台北市士林區名山里雨聲街68號
 (貓頭鷹志工隊)",1111114,09:00-12:00,掌握銀髮照護通行證,28
111,225,士林區,"台北市士林區名山里雨聲街68號
 (名山里辦公室)",1111114,13:30-16:30,樂齡手機上網輕鬆學,37
111,226,大安區,"台北市大安區民炤里信義路3段31巷5號
 (民炤里辦公室)",1111114,15:00-17:00,樂齡手機上網輕鬆學,20
111,227,大安區,"臺北市大安區龍泉里雲和街49號
 (龍泉里里辦公室)",1111114,20:00-21:00,拍出誘人的美食風味,24
111,228,北投區,"台北市北投區榮光里石牌路一段166巷43弄15號
 (台北市北投區榮光社區發展協會)",1111115,09:00-11:00,IG限動分享精采人生,22
111,229,士林區,"台北市士林區三玉里德行東路203巷2號1樓
 (芝山生活家)",1111115,09:00-12:00,樂齡手機上網輕鬆學,20
111,230,文山區,"台北市文山區明興里興隆路四段61號
 (明興里里辦公室)",1111115,09:00-12:00,網路識讀安全自保術,19
111,231,大安區,"台北市大安區法治里通化街192號
 (關懷里民活動中心)",1111115,10:00-12:00,IG限動分享精采人生,33
